vx_input,vy_input,vx_output,vy_output
400,0,13.0,1.0
400,0,15.0,2.0
400,0,12.0,3.0
400,0,15.0,3.0
400,0,12.0,4.0
400,0,16.0,2.0
400,0,12.0,4.0
400,0,14.0,-7.0
400,0,11.0,2.0
400,0,16.0,-9.0
400,0,13.0,2.0
400,0,18.0,-3.0
400,0,11.0,3.0
400,0,16.0,-7.0
400,0,12.0,2.0
400,0,19.0,-1.0
-400,0,12.0,1.0
-400,0,18.0,-3.0
-400,0,-7.0,0.0
-400,0,-4.0,1.0
-400,0,-12.0,-2.0
-400,0,-19.0,-1.0
-400,0,-12.0,-2.0
-400,0,-16.0,5.0
-400,0,-12.0,-2.0
-400,0,-15.0,8.0
-400,0,-13.0,-1.0
-400,0,-15.0,10.0
-400,0,-12.0,-1.0
-400,0,-19.0,-2.0
-400,0,-12.0,0.0
-400,0,-18.0,-2.0
-400,0,-13.0,-3.0
-400,0,-12.0,3.0
-400,0,-13.0,-1.0
-400,0,-21.0,7.0
0,400,-12.0,-2.0
0,400,-18.0,-3.0
0,400,-4.0,7.0
0,400,-9.0,10.0
0,400,0.0,14.0
0,400,-2.0,16.0
0,400,0.0,13.0
0,400,-4.0,16.0
0,400,0.0,13.0
0,400,0.0,17.0
0,400,0.0,13.0
0,400,0.0,18.0
0,400,-4.0,12.0
0,400,-1.0,17.0
0,400,0.0,13.0
0,400,-2.0,18.0
0,400,-4.0,12.0
0,400,-3.0,17.0
0,400,-1.0,12.0
0,400,-2.0,18.0
0,-400,0.0,13.0
0,-400,-3.0,19.0
0,-400,1.0,-4.0
0,-400,0.0,-2.0
0,-400,2.0,-13.0
0,-400,3.0,-19.0
0,-400,3.0,-12.0
0,-400,4.0,-19.0
0,-400,1.0,-13.0
0,-400,6.0,-19.0
0,-400,6.0,-11.0
0,-400,4.0,-19.0
0,-400,3.0,-13.0
0,-400,2.0,-18.0
0,-400,1.0,-13.0
0,-400,2.0,-17.0
0,-400,0.0,-12.0
0,-400,3.0,-17.0
0,-400,1.0,-13.0
0,-400,-1.0,-17.0
450,0,3.0,-12.0
450,0,5.0,-17.0
450,0,10.0,-4.0
450,0,11.0,-7.0
450,0,13.0,1.0
450,0,19.0,0.0
450,0,14.0,4.0
450,0,21.0,0.0
450,0,13.0,2.0
450,0,19.0,0.0
450,0,12.0,3.0
450,0,20.0,1.0
450,0,14.0,3.0
450,0,19.0,4.0
450,0,13.0,3.0
450,0,20.0,6.0
450,0,13.0,3.0
450,0,20.0,3.0
450,0,13.0,2.0
450,0,20.0,1.0
-450,0,15.0,0.0
-450,0,20.0,2.0
-450,0,-7.0,0.0
-450,0,-9.0,-3.0
-450,0,-15.0,-1.0
-450,0,-19.0,-3.0
-450,0,-12.0,-2.0
-450,0,-18.0,-2.0
-450,0,-13.0,-2.0
-450,0,-19.0,-3.0
-450,0,-14.0,-2.0
-450,0,-18.0,-3.0
-450,0,-13.0,-1.0
-450,0,-19.0,-2.0
-450,0,-13.0,-2.0
-450,0,-19.0,-2.0
-450,0,-13.0,-2.0
-450,0,-21.0,3.0
-450,0,-13.0,-1.0
-450,0,-20.0,2.0
0,450,-14.0,-3.0
0,450,-20.0,3.0
0,450,-8.0,11.0
0,450,-8.0,14.0
0,450,-2.0,13.0
0,450,6.0,17.0
0,450,-1.0,14.0
0,450,7.0,18.0
0,450,-2.0,14.0
0,450,0.0,20.0
0,450,-6.0,13.0
0,450,0.0,19.0
0,450,-5.0,12.0
0,450,1.0,20.0
0,450,-2.0,14.0
0,450,6.0,18.0
0,450,-1.0,14.0
0,450,3.0,19.0
0,450,-2.0,13.0
0,450,0.0,22.0
0,-450,-3.0,14.0
0,-450,-2.0,21.0
0,-450,-1.0,-6.0
0,-450,-3.0,-5.0
0,-450,1.0,-14.0
0,-450,0.0,-19.0
0,-450,1.0,-14.0
0,-450,2.0,-19.0
0,-450,0.0,-15.0
0,-450,2.0,-19.0
0,-450,0.0,-15.0
